PDB_ID,peptide_chain_ID,peptide_length,number_of_atoms_in_peptide,protein_chain_ID,number_of_atoms_in_protein,number_of_atom_contacts_between_peptide_and_protein,unknown,noncanonical_peptide,resolution,molecular_type
3o43,B,34,281,A,1557,123,0,1,2.8,prot
3o71,B,8,64,A,2759,54,0,0,1.95,prot
3ogk,Q,13,119,B,4521,70,0,0,2.8,prot
3ogl,Q,18,156,B,4541,102,0,0,3.18,prot
3ogm,Q,18,156,B,4541,103,0,0,3.34,prot
3oiq,B,30,238,A,1501,76,0,0,2.4,prot
3oj3,I,33,260,A,582,46,0,1,2.5,prot
3oj4,C,31,249,B,574,46,0,1,3.4,prot
3ol0,A,43,342,B,322,98,0,0,1.48,prot
3onw,C,35,279,A,2543,174,0,0,2.38,prot
3oog,B,18,138,A,2648,88,0,0,2,prot
3otp,G,10,66,A,2736,63,0,0,3.76,prot
3ovv,B,20,153,A,2706,104,0,1,1.58,prot
3ow3,B,19,148,A,2777,100,0,0,1.9,prot
3owp,B,19,148,A,2704,98,0,0,1.88,prot
3owt,C,20,167,A,1199,79,0,0,2,prot
3ox7,P,14,104,U,1937,71,0,0,1.58,prot
3oxt,B,18,138,A,2698,88,0,0,2.2,prot
3oy5,P,15,112,U,1944,76,0,0,2.31,prot
3oy6,P,15,118,U,1951,75,0,0,2.31,prot
3p0m,B,19,148,A,2698,99,0,0,2.03,prot
3p17,L,27,222,H,2017,129,0,0,1.43,prot
3p2x,A,21,163,B,243,89,0,0,2,prot
3p2x,B,30,243,A,163,113,0,1,2,prot
3p33,A,21,163,B,242,71,0,0,2.3,prot
3p33,B,30,242,A,163,74,0,1,2.3,prot
3p3n,B,10,69,A,2710,59,0,0,2.4,prot
3p46,A,20,118,B,117,96,0,1,1.7,prot
3p6z,A,30,243,B,2065,129,0,0,1.7,prot
3p70,A,29,234,B,2041,120,0,0,2.55,prot
3p87,G,11,79,A,1834,59,0,0,2.99,prot
3p8m,D,43,311,C,299,99,0,0,2.9,prot
3pbj,A,29,228,C,232,61,0,1,2.2,prot
3pbp,C,26,204,A,3539,120,0,1,2.6,prot
3pcq,M,31,241,B,5879,119,0,0,8.98,prot
3pcq,X,29,232,B,5879,43,0,1,8.98,prot
3pcq,I,38,301,B,5879,104,0,0,8.98,prot
3pcq,J,41,338,F,1065,89,0,0,8.98,prot
3pk1,B,27,213,A,1133,88,0,1,2.49,prot
3pl7,C,26,205,A,1149,92,0,0,2.61,prot
3plv,C,21,150,A,630,54,0,0,1.9,prot
3plx,A,25,196,B,780,167,0,0,1.75,prot
3pma,A,29,243,B,1883,126,0,0,2.2,prot
3pmb,A,29,243,B,1828,124,0,0,2.9,prot
3pmh,A,36,287,B,2093,153,0,0,3.2,prot
3po1,A,27,222,B,1200,112,0,0,1.65,prot
3pob,B,28,176,C,176,149,0,1,1.8,prot
3pod,A,26,158,B,158,131,0,1,1.5,prot
3pon,A,29,177,B,177,145,0,1,1.5,prot
3poo,B,19,148,A,2682,100,0,0,1.6,prot
3pp4,P,24,191,H,1657,44,0,0,1.6,prot
3psm,A,47,379,B,379,46,0,0,0.98,prot
3pv3,E,6,30,A,2927,30,0,0,3.1,prot
3pzd,B,36,256,A,3964,68,0,0,2.5,prot
3q6e,A,21,163,B,234,83,0,0,2.05,prot
3q6e,B,29,234,A,163,108,0,0,2.05,prot
3qbr,B,24,187,A,1307,105,0,0,2.6,prot
3qdz,A,29,239,B,2028,129,0,0,2.8,prot
3qgn,A,29,239,B,2000,127,0,0,2.1,prot
3qi2,C,33,269,A,2560,165,0,0,2.8,prot
3qjq,C,33,259,A,4367,110,0,0,2.9,prot
3qjr,C,33,259,A,4367,121,0,0,3.2,prot
3qjs,C,33,259,A,4409,119,0,0,2.8,prot
3qjt,C,33,259,A,4409,112,0,0,2.95,prot
3qju,C,33,259,A,4367,113,0,0,2.9,prot
3qjv,C,33,259,A,4367,113,0,0,2.8,prot
3qkr,C,32,270,A,1624,68,0,0,3.4,prot
3qks,C,21,174,A,1618,43,0,0,2.1,prot
3qku,C,32,255,A,2892,74,0,0,3.3,prot
3qo0,C,2,14,A,1682,14,0,0,2.3,prot
3qrx,B,20,136,A,1157,21,0,0,2.2,prot
3qto,L,28,227,H,2017,130,0,0,1.52,prot
3qtv,L,28,227,H,2021,132,0,0,1.63,prot
3qwc,L,28,227,H,2025,130,0,0,1.75,prot
3qx5,L,28,227,H,2025,130,0,0,1.35,prot
3r0l,A,33,239,B,227,85,0,0,1.35,prot
3r0l,B,32,227,D,974,82,0,0,1.35,prot
3r1r,D,13,104,A,5837,65,0,0,3,prot
3r3g,A,29,239,B,2045,126,0,0,1.75,prot
3r3k,A,31,226,C,226,88,0,1,2.2,prot
3r46,A,31,228,C,228,97,0,1,1.75,prot
3r47,A,30,226,C,217,88,0,1,2.5,prot
3r48,A,32,235,C,226,94,0,1,2,prot
3r48,B,31,226,A,235,97,0,1,2,prot
3r4a,A,28,212,D,221,84,0,0,2.07,prot
3r4h,A,29,219,D,201,83,0,1,2.7,prot
3r7g,B,19,153,A,1226,96,0,0,2.2,prot
3r85,E,20,161,A,1120,100,0,0,1.95,prot
3r9i,E,14,110,B,1926,48,0,0,2.6,prot
3ra3,A,28,222,B,207,83,0,1,2.31,prot
3ra3,B,25,207,A,222,84,0,0,2.31,prot
3rf3,C,23,179,A,1988,115,0,0,1.61,prot
3rk2,A,30,249,B,481,105,0,0,2.2,prot
3rk3,A,34,278,B,499,102,0,0,3.5,prot
3rl0,A,35,283,B,481,107,0,0,3.8,prot
3rlw,L,28,227,H,2024,128,0,0,1.69,prot
3rly,L,28,227,H,2021,126,0,0,1.51,prot
3rm0,L,28,227,H,2017,130,0,0,1.34,prot
3rm2,L,28,227,H,2018,129,0,0,1.23,prot
3rml,L,28,227,H,2017,129,0,0,1.53,prot
3rmm,L,28,227,H,2017,130,0,0,1.58,prot
3rmn,L,28,227,H,2018,129,0,0,1.78,prot
3rmo,L,28,227,H,2010,131,0,0,1.4,prot
3ro2,B,22,186,A,2472,133,0,0,2.3,prot
3ro3,B,17,142,A,1263,99,0,0,1.1,prot
3rov,A,21,163,B,244,60,0,0,2.3,prot
3rov,B,30,244,D,244,97,0,1,2.3,prot
3rto,A,21,163,B,240,94,0,0,1.8,prot
3rto,B,30,240,A,163,122,0,0,1.8,prot
3rvf,B,11,86,A,1760,43,0,0,3.1,prot
3rzx,B,12,82,A,3195,74,0,0,2.61,prot
3s0r,A,30,223,B,223,90,0,0,2.45,prot
3s1b,A,34,278,V,780,27,0,0,2.9,prot
3s33,C,33,259,A,4407,107,0,0,4.45,prot
3s38,C,33,259,A,4384,108,0,0,4.2,prot
3s39,C,33,259,A,4407,110,0,0,4.8,prot
3s3a,C,33,259,A,4384,119,0,0,4.25,prot
3s3b,C,33,259,A,4392,117,0,0,3.3,prot
3s3c,C,33,259,A,4384,114,0,0,4,prot
3s3d,C,33,259,A,4392,117,0,0,3.75,prot
3s3x,D,37,299,A,3209,78,0,0,2.99,prot
3s6n,M,15,114,2,1515,78,0,0,0,
3s7h,A,27,222,B,2002,133,0,0,1.9,prot
3s7k,A,31,255,B,2038,124,0,0,1.9,prot
3s8f,C,31,241,A,4364,116,0,1,1.8,prot
3s8g,C,31,241,A,4370,116,0,1,1.8,prot
3s90,C,27,204,A,1934,131,0,0,1.97,prot
3sak,A,42,348,C,348,142,0,0,-1,prot
3sgr,A,25,181,C,177,56,0,0,2.17,prot
3sha,L,28,227,H,2021,132,0,0,1.52,prot
3shc,L,28,227,H,2012,130,0,0,1.9,prot
3si3,L,28,227,H,2018,132,0,0,1.55,prot
3si4,L,28,227,H,2021,131,0,0,1.27,prot
3si5,X,18,143,A,1267,60,0,0,2.2,prot
3sri,B,25,181,A,2279,124,0,0,1.6,prot
3srj,C,18,147,A,2375,117,0,0,2.15,prot
3ssb,C,35,262,I,235,128,0,0,1.8,prot
3ssb,I,30,235,C,262,135,0,1,1.8,prot
3sui,B,15,124,A,1144,115,0,0,1.95,prot
3sv2,L,28,227,H,2021,130,0,0,1.3,prot
3swy,A,46,365,C,353,105,0,0,1.9,prot
3syn,E,16,136,A,2042,50,0,0,3.06,prot
3t2a,A,21,163,B,240,100,1,0,2.1,prot
3t2a,B,30,240,A,163,104,1,1,2.1,prot
3t4f,A,24,156,B,156,128,0,1,1.68,prot
3t5f,L,28,227,H,2017,129,0,0,1.45,prot
3tcj,T,33,244,B,795,82,0,0,1.93,prot
3te3,A,34,245,B,251,70,0,0,2.69,prot
3tei,B,17,133,A,2725,83,0,0,2.4,prot
3tj5,B,27,195,A,1981,119,0,1,1.99,prot
3tj6,B,23,183,A,1967,121,0,0,2.76,prot
3tkn,B,28,221,A,3628,96,0,0,3.4,prot
3tm7,A,26,191,B,699,159,0,0,1.7,prot
3tmh,B,36,298,C,321,105,0,0,3.8,prot
3tmh,D,28,216,A,588,53,0,0,3.8,prot
3trs,A,37,255,B,1276,237,0,0,1.6,prot
3tt8,A,21,163,B,242,98,0,0,1.12,prot
3tt8,B,30,242,A,163,122,0,0,1.12,prot
3tu7,L,31,231,H,2015,132,0,0,2.49,prot
3tvj,I,35,261,B,1869,127,0,0,1.28,prot
3twe,A,26,224,B,215,90,0,0,1.36,prot
3twf,A,25,224,B,228,107,0,1,1.54,prot
3twg,A,22,198,B,235,87,0,1,1.72,prot
3tz1,B,24,185,A,567,91,0,0,1.8,prot
3u29,A,24,155,B,155,126,0,1,2,prot
3u4n,A,21,163,B,225,88,1,0,1.98,prot
3u4n,B,29,225,A,163,104,1,0,1.98,prot
3u5n,C,10,82,A,1489,70,0,1,1.95,prot
3u5o,I,20,154,A,1530,112,0,1,2.7,prot
3u5p,I,18,137,A,1522,103,0,1,2.8,prot
3u69,L,30,246,H,2032,137,0,0,1.55,prot
3u7d,B,7,70,A,2493,49,0,0,2.49,prot
3u7x,C,14,105,A,1498,65,0,0,2.1,prot
3u85,B,9,83,A,3812,66,0,0,3,prot
3u8o,L,30,246,H,2032,137,0,0,1.28,prot
3u8r,L,27,222,H,2032,126,0,0,1.47,prot
3u8t,L,27,222,H,2018,124,0,0,1.86,prot
3u98,L,28,223,H,2013,128,0,0,1.45,prot
3u9a,L,28,221,H,2021,128,0,0,1.58,prot
3uc7,A,22,151,F,151,26,0,0,1.1,prot
3uc8,A,22,151,C,151,25,0,0,1.33,prot
3ue7,A,46,325,B,322,54,0,1,1.08,prot
3uji,P,18,154,H,1650,78,0,0,1.6,prot
3ujj,P,17,128,H,1710,64,0,1,2,prot
3ukw,C,22,207,B,3244,161,0,1,2.1,prot
3ukx,C,23,218,B,3244,153,0,0,2.2,prot
3uky,C,14,125,B,3253,106,0,0,2.35,prot
3ukz,C,23,195,B,3253,142,0,0,2.3,prot
3ul0,C,23,191,B,3247,144,0,0,2,prot
3ul1,A,21,156,B,3244,133,0,0,1.9,prot
3um0,B,18,138,A,3104,47,0,0,3.1,prot
3um2,B,17,131,A,2988,45,0,0,2.59,prot
3utu,L,26,214,H,1990,121,0,0,1.55,prot
3uwj,L,28,227,H,2018,131,0,0,1.5,prot
3v19,A,21,167,B,242,87,0,0,2,prot
3v19,B,30,242,A,167,99,0,0,2,prot
3v1b,A,46,376,B,386,59,0,0,1.28,prot
3v1c,A,46,376,B,382,63,0,0,1.13,prot
3v1d,A,48,386,F,386,79,0,0,1.24,prot
3v1e,A,43,352,B,351,52,0,0,1.07,prot
3v1f,A,44,360,B,347,55,0,0,1.15,prot
3v1g,A,21,163,B,242,86,0,0,2.2,prot
3v1g,B,30,242,A,163,113,0,1,2.2,prot
3v2n,A,45,362,B,362,134,0,0,1.8,prot
3v2p,A,45,362,B,362,134,0,0,1.87,prot
3v2q,A,45,362,B,362,133,0,0,2.2,prot
3v2r,A,45,362,B,362,131,0,0,2.75,prot
3vcm,P,38,319,A,2583,202,0,0,2.93,prot
3vej,A,40,327,B,328,104,0,0,1.23,prot
3vgx,C,40,320,D,242,40,0,1,1.74,prot
3vgx,D,28,242,C,320,49,0,0,1.74,prot
3vgy,D,30,277,C,393,94,0,0,2.03,prot
3vh7,B,30,277,E,435,94,0,0,2.02,prot
3vhs,A,25,197,B,206,51,0,0,1.9,prot
3vie,A,36,285,F,333,94,0,1,1.8,prot
3vie,B,37,333,C,293,90,0,1,1.8,prot
3vmx,A,48,391,B,391,143,0,0,1.45,prot
3vqh,B,20,156,A,2859,101,0,0,1.95,prot
3vtp,C,43,347,D,234,41,0,1,1.9,prot
3vtp,D,28,234,C,347,55,0,1,1.9,prot
3vtq,E,37,293,C,336,104,0,1,1.53,prot
3vtq,D,38,336,B,293,95,0,1,1.53,prot
3vu5,A,39,317,B,204,38,0,1,2.09,prot
3vu5,B,23,204,A,317,42,0,1,2.09,prot
3vu6,A,39,317,B,219,34,0,1,2.32,prot
3vu6,B,25,219,A,317,42,0,1,2.32,prot
3vuy,D,33,262,A,601,70,0,1,1.98,prot
3vvi,A,21,169,B,169,55,0,0,1.25,prot
3vxe,L,27,215,H,2042,123,0,0,1.25,prot
3vxf,L,28,249,H,2421,141,3,0,1.6,prot
3w11,A,21,163,B,109,51,0,0,3.9,prot
3w11,B,15,109,A,163,39,0,0,3.9,prot
3w12,A,21,163,B,109,41,0,0,4.3,prot
3w12,B,15,109,A,163,32,0,0,4.3,prot
3w13,A,21,163,B,109,38,0,0,4.3,prot
3w13,B,15,109,A,163,33,0,0,4.3,prot
3w13,F,11,98,E,2301,42,0,0,4.3,prot
3w19,C,40,320,D,268,44,0,1,1.28,prot
3w19,D,29,268,C,320,50,0,0,1.28,prot
3w1s,B,25,204,A,2064,108,0,0,2.6,prot
3w3x,B,10,76,A,7773,64,0,0,2.9,prot
3w3y,B,8,63,A,7799,57,0,0,2.8,prot
3w5a,C,31,265,B,7674,122,0,0,3.01,prot
3w7y,A,21,163,B,242,91,0,0,0.92,prot
3w7y,B,30,242,A,163,120,0,1,0.92,prot
3w7z,A,21,163,B,242,92,0,0,1.15,prot
3w7z,B,30,242,A,163,118,0,1,1.15,prot
3w80,A,21,163,B,242,92,0,0,1.4,prot
3w80,B,30,242,A,163,120,0,0,1.4,prot
3w8j,C,6,38,A,941,30,0,0,2.1,prot
3w8v,A,32,251,C,251,87,0,0,2.1,prot
3w92,A,32,251,C,251,87,0,1,1.35,prot
3w93,A,32,250,C,241,84,0,1,1.5,prot
3wg7,L,46,380,A,4027,183,0,0,1.9,prot
3wg7,M,43,335,A,4027,116,0,1,1.9,prot
3wgx,C,7,48,A,873,42,0,0,0.92,prot
3wmi,B,37,311,A,462,116,0,0,1.9,prot
3wmj,B,37,311,A,461,116,0,0,2,prot
3wmm,B,40,337,A,473,64,0,0,3.01,prot
3wn7,B,24,202,A,2196,83,0,0,1.57,prot
3wn8,A,24,156,B,151,132,0,1,1.45,prot
3wu2,K,37,286,C,3486,94,0,0,1.9,prot
3wu2,M,33,256,L,297,105,0,1,1.9,prot
3wu2,T,30,256,L,297,76,0,1,1.9,prot
3wu2,Y,27,196,Z,459,51,0,0,1.9,prot
3wu2,X,38,275,D,2714,70,0,0,1.9,prot
3wu2,F,34,274,E,657,92,0,0,1.9,prot
3wu2,I,36,294,A,2617,111,0,1,1.9,prot
3wwq,C,38,298,A,603,85,0,0,1.9,prot
3wy9,C,26,204,A,3252,55,0,0,2.3,prot
3x23,B,11,94,A,2497,84,0,0,2.4,prot
3x2q,L,46,380,A,4027,182,0,0,2,prot
3x2q,M,43,335,A,4027,116,0,1,2,prot
3x2u,S,20,155,A,2796,103,0,0,2.4,prot
3x2v,S,20,155,A,2765,110,0,0,1.77,prot
3x2w,S,20,155,A,2796,104,0,0,1.7,prot
3zbi,C,29,213,B,1034,123,0,0,8.5,prot
3zdf,C,21,172,B,2577,85,0,0,2.34,prot
3zdl,B,26,202,A,2002,117,0,0,2.3,prot
3zfw,X,11,88,A,1794,69,0,0,2.9,prot
3zg7,A,40,295,B,3473,203,0,0,1.99,prot
3zg8,A,39,289,B,3484,199,0,0,2.09,prot
3zg9,A,41,306,B,3466,201,0,0,1.8,prot
3zga,A,41,306,B,3484,209,0,0,2,prot
3zi3,A,21,163,B,146,59,1,0,1.7,prot
3zi3,B,20,146,A,163,51,1,0,1.7,prot
3zil,B,11,100,A,2873,57,0,0,2.01,prot
3zld,B,30,229,A,2745,155,0,0,3.1,prot
3zo2,I,18,138,A,2778,89,0,0,1.98,prot
3zo3,I,18,137,A,2728,89,0,0,2.1,prot
3zo4,I,20,153,A,2725,102,0,0,1.65,prot
3zqr,A,21,163,B,231,66,0,0,1.9,prot
3zqr,B,29,231,D,220,84,0,1,1.9,prot
3zrj,X,14,106,A,1269,45,0,0,1.94,prot
3zrk,X,24,195,A,2761,95,0,0,2.37,prot
3zrl,X,23,189,A,2762,95,0,0,2.48,prot
3zrm,X,23,184,A,2765,90,0,0,2.49,prot
3zrz,C,20,137,A,682,124,0,1,1.7,prot
3zs2,A,20,159,B,219,63,1,0,1.97,prot
3zs2,B,27,219,D,194,64,2,1,1.97,prot
3zs9,C,31,255,B,2382,87,0,0,2.1,prot
3zu1,A,21,152,B,212,70,0,0,1.6,prot
3zu1,B,28,212,D,221,82,0,0,1.6,prot
3zwh,Q,43,353,A,751,127,0,1,1.94,prot
3zwz,B,36,259,A,2377,176,0,0,2.1,prot
3zy0,A,30,252,C,241,119,0,1,1.9,prot
4a1t,C,17,132,A,1415,99,0,0,2.05,prot
4a1u,B,20,169,A,1205,111,0,1,1.54,prot
4a1x,C,17,132,A,1399,94,0,0,1.9,prot
4a7e,A,21,159,B,229,99,0,0,1.86,prot
4a7e,B,29,229,A,159,122,0,0,1.86,prot
4a8x,B,27,208,A,698,82,0,0,1.9,prot
4ab0,A,46,353,B,338,38,0,0,1.64,prot
4afj,X,23,188,A,2736,90,0,0,1.98,prot
4afx,B,34,278,A,2805,260,0,0,2.09,prot
4aiy,A,21,163,B,242,64,0,0,-1,prot
4aiy,B,30,242,D,242,105,0,0,-1,prot
4aju,B,36,291,A,2823,261,0,0,2.65,prot
4ajx,A,21,163,B,235,71,0,0,1.2,prot
4ajx,B,29,235,H,223,91,0,0,1.2,prot
4ajz,A,21,163,B,235,84,0,0,1.8,prot
4ajz,B,29,235,A,163,107,0,1,1.8,prot
4ak0,A,21,163,B,229,94,1,0,2.28,prot
4ak0,B,29,229,A,163,103,1,0,2.28,prot
4ak4,B,16,114,A,1041,61,0,0,1.65,prot
4akb,B,15,105,A,1039,62,0,0,1.95,prot
4akc,B,16,114,A,1039,62,0,0,2.3,prot
4akj,A,21,163,B,235,76,1,0,2.01,prot
4akj,B,29,235,A,163,79,1,1,2.01,prot
4aok,A,27,208,B,756,171,0,0,1.5,prot
4aon,A,27,213,B,744,171,0,0,1.5,prot
4aoq,D,34,232,A,1629,82,0,0,2,prot
4aor,D,34,238,A,1629,83,0,0,1.7,prot
4ar2,P,10,83,A,3673,51,0,0,3.8,prot
4au3,E,15,94,G,94,79,0,0,2.78,prot
4auo,C,39,258,D,243,207,0,1,3,prot
4auv,A,35,305,D,145,50,0,0,2,prot
4ax9,L,28,223,H,2027,129,0,0,1.9,prot
4axa,I,20,157,A,2784,108,0,0,1.9,prot
4axy,A,20,116,B,116,97,0,1,1.24,prot
4ayb,P,44,357,B,8756,96,0,0,3.2,prot
4ayv,A,30,244,B,2080,119,0,0,2.8,prot
4ayy,A,30,244,B,2080,120,0,0,2.6,prot
4az2,A,30,244,B,2080,121,0,0,2.6,prot
4b18,B,16,140,A,3310,130,0,0,2.52,prot
4b1u,M,30,223,B,2674,126,0,1,2,prot
4b1w,M,24,168,B,2777,75,0,0,1.95,prot
4b1x,M,28,220,B,2775,101,0,0,1.8,prot
4b1y,M,30,262,B,2835,100,0,1,1.29,prot
4b4s,B,24,208,A,1148,109,0,0,1.9,prot
4b7k,B,15,100,A,2736,79,0,0,2.39,prot
4b7y,A,38,300,B,291,112,0,0,3.25,prot
4b8l,D,42,342,A,2079,152,0,0,3,prot
4bah,A,30,240,B,2031,134,0,0,1.94,prot
4bak,A,28,223,B,2016,128,0,0,1.94,prot
4bam,A,28,223,B,2016,131,0,0,1.88,prot
4ban,A,28,223,B,2016,125,0,0,1.87,prot
4bao,A,28,223,B,2016,128,0,0,1.87,prot
4baq,A,28,223,B,2016,127,0,0,1.89,prot
4bb2,B,33,282,A,2582,260,0,1,2.48,prot
4bd2,C,30,230,A,1153,98,0,0,2.21,prot
4bd6,C,20,152,A,1153,71,0,0,2.49,prot
4bj3,C,18,123,D,123,88,0,1,3.04,prot
4bkl,E,25,159,G,156,125,0,1,3.25,prot
4bpk,C,21,174,A,1131,117,0,1,1.76,prot
4bpl,B,21,155,A,3231,126,0,0,2.3,prot
4bqd,C,21,169,A,637,96,0,1,2.48,prot
4bru,B,29,221,A,2889,111,0,0,3.25,prot
4bs3,A,21,162,B,240,91,0,0,2.3,prot
4bs3,B,30,240,A,162,108,0,0,2.3,prot
4bws,B,22,167,A,1092,69,0,0,2.5,prot
4bxl,A,46,359,C,155,93,0,0,-1,prot
4bxl,C,22,155,A,359,78,0,0,-1,prot
4bxr,C,12,92,A,1468,70,0,0,2.2,prot
4c1a,A,36,288,B,281,111,0,0,1.55,prot
4c31,A,31,271,B,742,144,0,0,3,prot
4c31,C,15,119,B,742,47,0,0,3,prot
4c36,I,20,144,A,2739,99,0,1,1.98,prot
4c37,I,20,153,A,2748,98,0,0,1.7,prot
4c38,I,20,149,A,2747,94,0,0,1.58,prot
4c3p,B,17,134,A,2168,100,0,0,2.69,prot
4c48,C,46,326,A,7788,141,0,0,3.3,prot
4c5e,E,30,238,A,3465,98,0,0,1.95,prot
4c5g,B,30,232,A,3445,108,0,0,2.1,prot
4c5i,C,16,135,A,3371,76,0,0,2.59,prot
4caa,B,33,270,A,2657,245,0,0,2.9,prot
4cay,C,23,192,A,654,74,0,0,1.48,prot
4cc8,A,31,124,E,2693,14,3,0,6,prot
4ccm,C,8,63,A,3645,58,0,0,2.51,prot
4ccn,C,10,71,A,3631,57,0,0,2.23,prot
4cco,C,12,84,A,3656,75,0,0,2.3,prot
4cdi,C,46,326,A,7788,141,0,0,3.7,prot
4cfh,C,21,164,A,3217,64,0,0,3.24,prot
4cfr,Q,43,353,A,759,120,0,0,1.4,prot
4cg5,C,36,281,A,3477,102,0,0,7.4,prot
4cg7,C,36,281,A,3477,114,0,0,6.9,prot
4ch2,A,32,240,B,2051,150,0,0,1.6,prot
4ch8,A,26,184,B,1956,113,1,0,1.75,prot
4cin,C,23,186,A,1130,118,0,0,2.69,prot
4cpa,I,37,285,A,2437,68,0,1,2.5,prot
4cqk,A,47,364,C,364,59,0,0,1.6,prot
4cry,A,25,204,G,775,172,0,0,1.61,prot
4cu4,B,21,150,A,5412,106,0,0,2.3,prot
4cug,E,8,60,A,3073,49,0,0,2.96,prot
4cxl,A,21,163,B,234,95,1,0,1.5,prot
4cxl,B,29,234,A,163,109,1,1,1.5,prot
4cxn,A,21,163,B,236,95,0,0,1.7,prot
4cxn,B,29,236,A,163,108,0,1,1.7,prot
4cy7,A,21,163,B,224,64,0,0,1.4,prot
4cy7,B,28,224,A,163,70,0,1,1.4,prot
4cyd,F,21,181,B,1738,92,0,0,1.82,prot
4cz5,A,29,244,B,236,133,0,0,1.02,prot
4cz6,A,30,245,B,244,155,0,0,1.53,prot
4cz7,A,30,253,B,263,162,0,0,1.1,prot
4d07,B,12,94,A,747,72,0,0,1.85,prot
4d0m,E,41,314,B,1377,37,1,0,6,prot
4d2g,D,21,162,C,1984,116,0,0,2.65,prot
4d2l,B,23,177,A,1132,91,0,0,2.9,prot
4d2m,B,22,192,A,1121,101,0,0,2.1,prot
4d7z,A,28,217,B,725,180,0,0,1.9,prot
4day,C,12,95,A,1121,51,0,0,3.3,prot
4dc2,Z,16,122,A,2561,93,0,0,2.4,prot
4dfx,I,20,155,E,2860,106,0,0,1.35,prot
4dfz,I,20,154,E,2830,101,0,0,2,prot
4dg0,I,20,154,E,2797,108,0,0,2,prot
4dg2,I,20,154,E,2833,105,0,0,2,prot
4dg3,A,19,148,E,2741,103,0,0,1.8,prot
4dh1,I,20,157,A,2781,103,0,0,2,prot
4dh3,I,20,157,A,2781,104,0,0,2.2,prot
4dh5,I,20,157,A,2781,111,0,0,2.2,prot
4dh7,I,20,157,A,2781,103,0,0,1.8,prot
4dh8,I,20,157,A,2781,104,0,0,2.3,prot
4dj9,B,22,156,A,1861,102,0,0,2.25,prot
4djc,B,13,111,A,1145,74,0,0,1.35,prot
4djz,H,34,241,B,1906,101,0,0,3.2,prot
4dm6,E,11,91,A,1894,60,0,0,1.9,prot
4dm8,C,8,71,A,1879,43,0,0,2.3,prot
4dmd,A,32,250,B,279,119,0,1,2,prot
4dme,A,35,276,C,280,83,0,1,2.2,prot
4dmt,A,31,200,B,203,163,0,1,1.39,prot
4dnc,D,42,352,A,2256,188,0,0,2.05,prot
4doq,B,47,346,A,1630,68,0,1,2,prot
4drw,E,10,86,A,825,28,0,0,3.5,prot
4dt7,A,32,259,B,2033,125,0,0,1.9,prot
4dt7,E,8,68,B,2033,44,0,0,1.9,prot
4dx0,P,31,253,A,1817,84,0,0,3.4,prot
4dxr,B,25,196,A,1554,106,0,0,2.32,prot
4dxs,B,24,193,A,1553,94,0,0,2.71,prot
4dy7,A,45,350,B,1939,182,0,0,2.8,prot
4dzl,A,31,226,C,242,47,0,1,2.3,prot
4dzn,A,33,250,B,250,89,0,1,1.59,prot
4dzu,B,38,281,A,1510,134,0,0,2.1,prot
4dzv,B,31,257,A,1528,113,0,1,2.1,prot
4.00E+05,L,29,239,H,2048,127,0,0,2.3,prot
4.00E+06,L,28,230,H,2039,126,0,0,3.2,prot
4.00E+17,B,28,229,A,1930,141,0,0,2.3,prot
4e7r,L,28,217,H,1999,129,0,0,2.25,prot
4e7t,A,21,160,B,240,94,0,0,1.4,prot
4e7t,B,30,240,A,160,122,0,1,1.4,prot
4e7u,A,21,160,B,240,90,0,0,1.3,prot
4e7u,B,30,240,A,160,107,0,1,1.3,prot
4edn,K,12,89,A,1043,40,0,0,2.9,prot
4ehq,G,20,167,A,1143,71,0,1,1.9,prot
4emz,D,19,127,M,2079,88,0,0,2.9,prot
4en2,D,12,81,M,2085,67,0,0,2.58,prot
4eww,A,21,163,B,241,109,0,0,2.3,prot
4eww,B,30,241,A,163,117,0,0,2.3,prot
4ewx,A,21,163,B,241,105,0,0,2.2,prot
4ewx,B,30,241,A,163,111,0,0,2.2,prot
4ewz,A,21,162,B,240,106,0,0,1.79,prot
4ewz,B,30,240,A,162,118,0,0,1.79,prot
4ex0,A,21,162,B,240,107,0,0,1.86,prot
4ex0,B,30,240,A,162,116,0,0,1.86,prot
4ex1,A,21,162,B,240,108,1,0,1.66,prot
4ex1,B,30,240,A,162,116,1,0,1.66,prot
4ext,B,23,178,C,1614,107,0,0,1.9,prot
4exx,A,21,163,B,241,108,0,0,1.55,prot
4exx,B,30,241,A,163,116,0,0,1.55,prot
4ey1,A,21,163,B,241,109,1,0,1.47,prot
4ey1,B,30,241,A,163,117,1,0,1.47,prot
4ey9,A,21,163,B,241,108,1,0,1.47,prot
4ey9,B,30,241,A,163,117,1,0,1.47,prot
4eyd,A,21,163,B,241,108,1,0,1.47,prot
4eyd,B,30,241,A,163,117,1,0,1.47,prot
4eyn,A,21,163,B,242,108,0,0,1.53,prot
4eyn,B,30,242,A,163,118,0,0,1.53,prot
4eyp,A,21,163,B,241,105,0,0,1.59,prot
4eyp,B,30,241,A,163,117,0,0,1.59,prot
4ezn,C,6,51,A,1601,49,0,0,1.8,prot
4f0n,A,21,162,B,240,104,0,0,1.68,prot
4f0n,B,30,240,A,162,114,0,0,1.68,prot
4f0o,A,21,162,B,241,105,0,0,1.67,prot
4f0o,B,30,241,A,162,116,0,0,1.67,prot
